scenario,nodes,packets,interval,area_size,speed,channels,mobility,adr_node,adr_server,pdr_mean,pdr_std,collision_rate_mean,collision_rate_std,avg_delay_s_mean,avg_delay_s_std,energy_per_node_mean,energy_per_node_std,avg_sf_mean,avg_sf_std
n50_c1_static,50,100,60.0,1000.0,0.0,1,False,False,False,94.96575228643859,3.020837211109108,5.034247713561412,3.0208372111091095,0.42043059983710096,0.05621832599455695,8.611467517064742,1.2273618510749447,9.388,0.2664132128855476
n50_c1_mobile,50,100,60.0,1000.0,5.0,1,True,False,False,95.15192216720989,2.87174413637043,4.848077832790112,2.871744136370427,0.4210422510982865,0.056009563656332,8.6114675170837,1.2273618510760413,9.388,0.2664132128855476
n50_c3_mobile,50,100,60.0,1000.0,5.0,3,True,False,False,99.23963478651808,0.4206455762032382,0.7603652134819027,0.42064557620323423,0.43198387780977915,0.06264627284305524,8.6114675170837,1.2273618510760413,9.388,0.2664132128855476
n50_c6_static,50,100,60.0,1000.0,0.0,6,False,False,False,99.80021564296256,0.09239969660035258,0.19978435703744118,0.09239969660035108,0.43219820582997315,0.06278097115217658,8.611467517064742,1.2273618510749447,9.388,0.2664132128855476
n200_c1_static,200,100,60.0,1000.0,0.0,1,False,False,False,82.02267170059639,1.3615081962681432,17.97732829940361,1.361508196268143,0.3938739055752558,0.03900734935333238,9.051852111429842,0.9096358145635738,9.491999999999999,0.17642562172201606
n200_c1_mobile,200,100,60.0,1000.0,5.0,1,True,False,False,82.2382718299297,1.479267723885789,17.761728170070295,1.4792677238857905,0.394241681324393,0.03678975954447379,9.05185211118295,0.9096358144982901,9.491999999999999,0.17642562172201606
n200_c3_mobile,200,100,60.0,1000.0,5.0,3,True,False,False,95.354925656437,0.5498243145437525,4.645074343563001,0.5498243145437521,0.44109738070682986,0.0409037681864996,9.05185211118295,0.9096358144982901,9.491999999999999,0.17642562172201606
n200_c6_static,200,100,60.0,1000.0,0.0,6,False,False,False,98.5862224676686,0.25837702088491926,1.4137775323313873,0.2583770208849171,0.45152235082356773,0.043693720784581065,9.051852111429842,0.9096358145635738,9.491999999999999,0.17642562172201606
